"_defaultColorIndex","class","id","name","x","y"
"1","mean","0u0m5os8","train","0","0.065"
"1","mean","0u0m5os8","train","0.01","0.199"
"1","mean","0u0m5os8","train","0.02","0.278"
"1","mean","0u0m5os8","train","0.03","0.332"
"1","mean","0u0m5os8","train","0.04","0.37"
"1","mean","0u0m5os8","train","0.051","0.4"
"1","mean","0u0m5os8","train","0.061","0.424"
"1","mean","0u0m5os8","train","0.071","0.443"
"1","mean","0u0m5os8","train","0.081","0.458"
"1","mean","0u0m5os8","train","0.091","0.473"
"1","mean","0u0m5os8","train","0.101","0.484"
"1","mean","0u0m5os8","train","0.111","0.493"
"1","mean","0u0m5os8","train","0.121","0.501"
"1","mean","0u0m5os8","train","0.131","0.507"
"1","mean","0u0m5os8","train","0.141","0.513"
"1","mean","0u0m5os8","train","0.152","0.52"
"1","mean","0u0m5os8","train","0.162","0.524"
"1","mean","0u0m5os8","train","0.172","0.528"
"1","mean","0u0m5os8","train","0.182","0.531"
"1","mean","0u0m5os8","train","0.192","0.534"
"1","mean","0u0m5os8","train","0.202","0.536"
"1","mean","0u0m5os8","train","0.212","0.537"
"1","mean","0u0m5os8","train","0.222","0.538"
"1","mean","0u0m5os8","train","0.232","0.538"
"1","mean","0u0m5os8","train","0.242","0.538"
"1","mean","0u0m5os8","train","0.253","0.538"
"1","mean","0u0m5os8","train","0.263","0.538"
"1","mean","0u0m5os8","train","0.273","0.539"
"1","mean","0u0m5os8","train","0.283","0.539"
"1","mean","0u0m5os8","train","0.293","0.539"
"1","mean","0u0m5os8","train","0.303","0.537"
"1","mean","0u0m5os8","train","0.313","0.537"
"1","mean","0u0m5os8","train","0.323","0.535"
"1","mean","0u0m5os8","train","0.333","0.534"
"1","mean","0u0m5os8","train","0.343","0.533"
"1","mean","0u0m5os8","train","0.354","0.532"
"1","mean","0u0m5os8","train","0.364","0.529"
"1","mean","0u0m5os8","train","0.374","0.526"
"1","mean","0u0m5os8","train","0.384","0.524"
"1","mean","0u0m5os8","train","0.394","0.522"
"1","mean","0u0m5os8","train","0.404","0.52"
"1","mean","0u0m5os8","train","0.414","0.516"
"1","mean","0u0m5os8","train","0.424","0.514"
"1","mean","0u0m5os8","train","0.434","0.511"
"1","mean","0u0m5os8","train","0.444","0.508"
"1","mean","0u0m5os8","train","0.455","0.505"
"1","mean","0u0m5os8","train","0.465","0.501"
"1","mean","0u0m5os8","train","0.475","0.499"
"1","mean","0u0m5os8","train","0.485","0.496"
"1","mean","0u0m5os8","train","0.495","0.493"
"1","mean","0u0m5os8","train","0.505","0.49"
"1","mean","0u0m5os8","train","0.515","0.487"
"1","mean","0u0m5os8","train","0.525","0.483"
"1","mean","0u0m5os8","train","0.535","0.48"
"1","mean","0u0m5os8","train","0.545","0.475"
"1","mean","0u0m5os8","train","0.556","0.472"
"1","mean","0u0m5os8","train","0.566","0.467"
"1","mean","0u0m5os8","train","0.576","0.463"
"1","mean","0u0m5os8","train","0.586","0.457"
"1","mean","0u0m5os8","train","0.596","0.452"
"1","mean","0u0m5os8","train","0.606","0.448"
"1","mean","0u0m5os8","train","0.616","0.444"
"1","mean","0u0m5os8","train","0.626","0.439"
"1","mean","0u0m5os8","train","0.636","0.432"
"1","mean","0u0m5os8","train","0.646","0.427"
"1","mean","0u0m5os8","train","0.657","0.422"
"1","mean","0u0m5os8","train","0.667","0.415"
"1","mean","0u0m5os8","train","0.677","0.408"
"1","mean","0u0m5os8","train","0.687","0.402"
"1","mean","0u0m5os8","train","0.697","0.394"
"1","mean","0u0m5os8","train","0.707","0.387"
"1","mean","0u0m5os8","train","0.717","0.379"
"1","mean","0u0m5os8","train","0.727","0.37"
"1","mean","0u0m5os8","train","0.737","0.361"
"1","mean","0u0m5os8","train","0.747","0.354"
"1","mean","0u0m5os8","train","0.758","0.345"
"1","mean","0u0m5os8","train","0.768","0.336"
"1","mean","0u0m5os8","train","0.778","0.324"
"1","mean","0u0m5os8","train","0.788","0.314"
"1","mean","0u0m5os8","train","0.798","0.305"
"1","mean","0u0m5os8","train","0.808","0.294"
"1","mean","0u0m5os8","train","0.818","0.281"
"1","mean","0u0m5os8","train","0.828","0.27"
"1","mean","0u0m5os8","train","0.838","0.256"
"1","mean","0u0m5os8","train","0.848","0.244"
"1","mean","0u0m5os8","train","0.859","0.23"
"1","mean","0u0m5os8","train","0.869","0.214"
"1","mean","0u0m5os8","train","0.879","0.2"
"1","mean","0u0m5os8","train","0.889","0.182"
"1","mean","0u0m5os8","train","0.899","0.161"
"1","mean","0u0m5os8","train","0.909","0.139"
"1","mean","0u0m5os8","train","0.919","0.116"
"1","mean","0u0m5os8","train","0.929","0.094"
"1","mean","0u0m5os8","train","0.939","0.071"
"1","mean","0u0m5os8","train","0.949","0.049"
"1","mean","0u0m5os8","train","0.96","0.029"
"1","mean","0u0m5os8","train","0.97","0.017"
"1","mean","0u0m5os8","train","0.98","0.007"
"1","mean","0u0m5os8","train","0.99","0.001"
"1","mean","0u0m5os8","train","1","0"
"1","person","0u0m5os8","train","0","0.114"
"1","person","0u0m5os8","train","0.01","0.269"
"1","person","0u0m5os8","train","0.02","0.359"
"1","person","0u0m5os8","train","0.03","0.421"
"1","person","0u0m5os8","train","0.04","0.468"
"1","person","0u0m5os8","train","0.051","0.507"
"1","person","0u0m5os8","train","0.061","0.536"
"1","person","0u0m5os8","train","0.071","0.562"
"1","person","0u0m5os8","train","0.081","0.583"
"1","person","0u0m5os8","train","0.091","0.603"
"1","person","0u0m5os8","train","0.101","0.618"
"1","person","0u0m5os8","train","0.111","0.632"
"1","person","0u0m5os8","train","0.121","0.644"
"1","person","0u0m5os8","train","0.131","0.653"
"1","person","0u0m5os8","train","0.141","0.663"
"1","person","0u0m5os8","train","0.152","0.672"
"1","person","0u0m5os8","train","0.162","0.679"
"1","person","0u0m5os8","train","0.172","0.684"
"1","person","0u0m5os8","train","0.182","0.69"
"1","person","0u0m5os8","train","0.192","0.696"
"1","person","0u0m5os8","train","0.202","0.7"
"1","person","0u0m5os8","train","0.212","0.704"
"1","person","0u0m5os8","train","0.222","0.707"
"1","person","0u0m5os8","train","0.232","0.709"
"1","person","0u0m5os8","train","0.242","0.712"
"1","person","0u0m5os8","train","0.253","0.715"
"1","person","0u0m5os8","train","0.263","0.717"
"1","person","0u0m5os8","train","0.273","0.719"
"1","person","0u0m5os8","train","0.283","0.72"
"1","person","0u0m5os8","train","0.293","0.721"
"1","person","0u0m5os8","train","0.303","0.721"
"1","person","0u0m5os8","train","0.313","0.722"
"1","person","0u0m5os8","train","0.323","0.722"
"1","person","0u0m5os8","train","0.333","0.721"
"1","person","0u0m5os8","train","0.343","0.721"
"1","person","0u0m5os8","train","0.354","0.721"
"1","person","0u0m5os8","train","0.364","0.72"
"1","person","0u0m5os8","train","0.374","0.72"
"1","person","0u0m5os8","train","0.384","0.718"
"1","person","0u0m5os8","train","0.394","0.717"
"1","person","0u0m5os8","train","0.404","0.716"
"1","person","0u0m5os8","train","0.414","0.714"
"1","person","0u0m5os8","train","0.424","0.712"
