"_defaultColorIndex","class","id","name","x","y"
"1","mean","0u0m5os8","train","0","0.034"
"1","mean","0u0m5os8","train","0.01","0.117"
"1","mean","0u0m5os8","train","0.02","0.176"
"1","mean","0u0m5os8","train","0.03","0.223"
"1","mean","0u0m5os8","train","0.04","0.26"
"1","mean","0u0m5os8","train","0.051","0.294"
"1","mean","0u0m5os8","train","0.061","0.323"
"1","mean","0u0m5os8","train","0.071","0.349"
"1","mean","0u0m5os8","train","0.081","0.37"
"1","mean","0u0m5os8","train","0.091","0.393"
"1","mean","0u0m5os8","train","0.101","0.414"
"1","mean","0u0m5os8","train","0.111","0.432"
"1","mean","0u0m5os8","train","0.121","0.45"
"1","mean","0u0m5os8","train","0.131","0.465"
"1","mean","0u0m5os8","train","0.141","0.481"
"1","mean","0u0m5os8","train","0.152","0.497"
"1","mean","0u0m5os8","train","0.162","0.523"
"1","mean","0u0m5os8","train","0.172","0.537"
"1","mean","0u0m5os8","train","0.182","0.55"
"1","mean","0u0m5os8","train","0.192","0.562"
"1","mean","0u0m5os8","train","0.202","0.573"
"1","mean","0u0m5os8","train","0.212","0.586"
"1","mean","0u0m5os8","train","0.222","0.595"
"1","mean","0u0m5os8","train","0.232","0.604"
"1","mean","0u0m5os8","train","0.242","0.614"
"1","mean","0u0m5os8","train","0.253","0.622"
"1","mean","0u0m5os8","train","0.263","0.631"
"1","mean","0u0m5os8","train","0.273","0.64"
"1","mean","0u0m5os8","train","0.283","0.651"
"1","mean","0u0m5os8","train","0.293","0.66"
"1","mean","0u0m5os8","train","0.303","0.668"
"1","mean","0u0m5os8","train","0.313","0.677"
"1","mean","0u0m5os8","train","0.323","0.684"
"1","mean","0u0m5os8","train","0.333","0.691"
"1","mean","0u0m5os8","train","0.343","0.699"
"1","mean","0u0m5os8","train","0.354","0.707"
"1","mean","0u0m5os8","train","0.364","0.713"
"1","mean","0u0m5os8","train","0.374","0.719"
"1","mean","0u0m5os8","train","0.384","0.725"
"1","mean","0u0m5os8","train","0.394","0.733"
"1","mean","0u0m5os8","train","0.404","0.739"
"1","mean","0u0m5os8","train","0.414","0.745"
"1","mean","0u0m5os8","train","0.424","0.75"
"1","mean","0u0m5os8","train","0.434","0.755"
"1","mean","0u0m5os8","train","0.444","0.763"
"1","mean","0u0m5os8","train","0.455","0.767"
