"_defaultColorIndex","class","id","name","x","y"
"1","mean","0u0m5os8","train","0","0.984"
"1","mean","0u0m5os8","train","0.01","0.97"
"1","mean","0u0m5os8","train","0.02","0.96"
"1","mean","0u0m5os8","train","0.03","0.954"
"1","mean","0u0m5os8","train","0.04","0.947"
"1","mean","0u0m5os8","train","0.051","0.942"
"1","mean","0u0m5os8","train","0.061","0.936"
"1","mean","0u0m5os8","train","0.071","0.929"
"1","mean","0u0m5os8","train","0.081","0.925"
"1","mean","0u0m5os8","train","0.091","0.917"
"1","mean","0u0m5os8","train","0.101","0.911"
"1","mean","0u0m5os8","train","0.111","0.905"
"1","mean","0u0m5os8","train","0.121","0.902"
"1","mean","0u0m5os8","train","0.131","0.896"
"1","mean","0u0m5os8","train","0.141","0.89"
"1","mean","0u0m5os8","train","0.152","0.885"
"1","mean","0u0m5os8","train","0.162","0.878"
"1","mean","0u0m5os8","train","0.172","0.873"
"1","mean","0u0m5os8","train","0.182","0.867"
"1","mean","0u0m5os8","train","0.192","0.862"
"1","mean","0u0m5os8","train","0.202","0.851"
"1","mean","0u0m5os8","train","0.212","0.846"
"1","mean","0u0m5os8","train","0.222","0.835"
"1","mean","0u0m5os8","train","0.232","0.827"
"1","mean","0u0m5os8","train","0.242","0.821"
"1","mean","0u0m5os8","train","0.253","0.815"
"1","mean","0u0m5os8","train","0.263","0.808"
"1","mean","0u0m5os8","train","0.273","0.8"
"1","mean","0u0m5os8","train","0.283","0.793"
"1","mean","0u0m5os8","train","0.293","0.787"
"1","mean","0u0m5os8","train","0.303","0.778"
"1","mean","0u0m5os8","train","0.313","0.772"
"1","mean","0u0m5os8","train","0.323","0.764"
"1","mean","0u0m5os8","train","0.333","0.754"
"1","mean","0u0m5os8","train","0.343","0.748"
"1","mean","0u0m5os8","train","0.354","0.739"
"1","mean","0u0m5os8","train","0.364","0.729"
"1","mean","0u0m5os8","train","0.374","0.72"
"1","mean","0u0m5os8","train","0.384","0.713"
"1","mean","0u0m5os8","train","0.394","0.705"
"1","mean","0u0m5os8","train","0.404","0.697"
"1","mean","0u0m5os8","train","0.414","0.687"
"1","mean","0u0m5os8","train","0.424","0.678"
"1","mean","0u0m5os8","train","0.434","0.67"
"1","mean","0u0m5os8","train","0.444","0.655"
"1","mean","0u0m5os8","train","0.455","0.646"
"1","mean","0u0m5os8","train","0.465","0.634"
"1","mean","0u0m5os8","train","0.475","0.621"
"1","mean","0u0m5os8","train","0.485","0.609"
"1","mean","0u0m5os8","train","0.495","0.596"
"1","mean","0u0m5os8","train","0.505","0.583"
"1","mean","0u0m5os8","train","0.515","0.572"
"1","mean","0u0m5os8","train","0.525","0.558"
"1","mean","0u0m5os8","train","0.535","0.544"
"1","mean","0u0m5os8","train","0.545","0.532"
"1","mean","0u0m5os8","train","0.556","0.52"
"1","mean","0u0m5os8","train","0.566","0.507"
"1","mean","0u0m5os8","train","0.576","0.496"
"1","mean","0u0m5os8","train","0.586","0.485"
"1","mean","0u0m5os8","train","0.596","0.471"
"1","mean","0u0m5os8","train","0.606","0.455"
"1","mean","0u0m5os8","train","0.616","0.442"
"1","mean","0u0m5os8","train","0.626","0.429"
"1","mean","0u0m5os8","train","0.636","0.412"
"1","mean","0u0m5os8","train","0.646","0.4"
"1","mean","0u0m5os8","train","0.657","0.385"
"1","mean","0u0m5os8","train","0.667","0.368"
"1","mean","0u0m5os8","train","0.677","0.353"
"1","mean","0u0m5os8","train","0.687","0.34"
"1","mean","0u0m5os8","train","0.697","0.327"
"1","mean","0u0m5os8","train","0.707","0.314"
"1","mean","0u0m5os8","train","0.717","0.302"
"1","mean","0u0m5os8","train","0.727","0.287"
"1","mean","0u0m5os8","train","0.737","0.273"
"1","mean","0u0m5os8","train","0.747","0.259"
"1","mean","0u0m5os8","train","0.758","0.244"
"1","mean","0u0m5os8","train","0.768","0.229"
"1","mean","0u0m5os8","train","0.778","0.213"
"1","mean","0u0m5os8","train","0.788","0.199"
"1","mean","0u0m5os8","train","0.798","0.186"
"1","mean","0u0m5os8","train","0.808","0.173"
"1","mean","0u0m5os8","train","0.818","0.159"
"1","mean","0u0m5os8","train","0.828","0.148"
"1","mean","0u0m5os8","train","0.838","0.133"
"1","mean","0u0m5os8","train","0.848","0.123"
"1","mean","0u0m5os8","train","0.859","0.114"
"1","mean","0u0m5os8","train","0.869","0.102"
"1","mean","0u0m5os8","train","0.879","0.094"
"1","mean","0u0m5os8","train","0.889","0.085"
"1","mean","0u0m5os8","train","0.899","0.077"
"1","mean","0u0m5os8","train","0.909","0.068"
"1","mean","0u0m5os8","train","0.919","0.058"
"1","mean","0u0m5os8","train","0.929","0.05"
