"_defaultColorIndex","class","id","name","x","y"
"1","mean","0u0m5os8","train","0","0.83"
"1","mean","0u0m5os8","train","0.01","0.763"
"1","mean","0u0m5os8","train","0.02","0.726"
"1","mean","0u0m5os8","train","0.03","0.703"
"1","mean","0u0m5os8","train","0.04","0.681"
"1","mean","0u0m5os8","train","0.051","0.663"
"1","mean","0u0m5os8","train","0.061","0.649"
"1","mean","0u0m5os8","train","0.071","0.637"
"1","mean","0u0m5os8","train","0.081","0.624"
"1","mean","0u0m5os8","train","0.091","0.614"
"1","mean","0u0m5os8","train","0.101","0.604"
"1","mean","0u0m5os8","train","0.111","0.595"
"1","mean","0u0m5os8","train","0.121","0.586"
"1","mean","0u0m5os8","train","0.131","0.577"
"1","mean","0u0m5os8","train","0.141","0.569"
"1","mean","0u0m5os8","train","0.152","0.563"
"1","mean","0u0m5os8","train","0.162","0.556"
"1","mean","0u0m5os8","train","0.172","0.55"
"1","mean","0u0m5os8","train","0.182","0.543"
"1","mean","0u0m5os8","train","0.192","0.537"
"1","mean","0u0m5os8","train","0.202","0.531"
"1","mean","0u0m5os8","train","0.212","0.524"
"1","mean","0u0m5os8","train","0.222","0.518"
"1","mean","0u0m5os8","train","0.232","0.512"
"1","mean","0u0m5os8","train","0.242","0.506"
"1","mean","0u0m5os8","train","0.253","0.5"
"1","mean","0u0m5os8","train","0.263","0.495"
"1","mean","0u0m5os8","train","0.273","0.491"
"1","mean","0u0m5os8","train","0.283","0.486"
"1","mean","0u0m5os8","train","0.293","0.481"
"1","mean","0u0m5os8","train","0.303","0.476"
"1","mean","0u0m5os8","train","0.313","0.471"
"1","mean","0u0m5os8","train","0.323","0.466"
"1","mean","0u0m5os8","train","0.333","0.461"
"1","mean","0u0m5os8","train","0.343","0.457"
"1","mean","0u0m5os8","train","0.354","0.452"
"1","mean","0u0m5os8","train","0.364","0.447"
"1","mean","0u0m5os8","train","0.374","0.441"
"1","mean","0u0m5os8","train","0.384","0.436"
"1","mean","0u0m5os8","train","0.394","0.432"
"1","mean","0u0m5os8","train","0.404","0.427"
"1","mean","0u0m5os8","train","0.414","0.422"
"1","mean","0u0m5os8","train","0.424","0.417"
"1","mean","0u0m5os8","train","0.434","0.412"
"1","mean","0u0m5os8","train","0.444","0.408"
"1","mean","0u0m5os8","train","0.455","0.403"
"1","mean","0u0m5os8","train","0.465","0.398"
"1","mean","0u0m5os8","train","0.475","0.394"
"1","mean","0u0m5os8","train","0.485","0.389"
"1","mean","0u0m5os8","train","0.495","0.385"
"1","mean","0u0m5os8","train","0.505","0.381"
"1","mean","0u0m5os8","train","0.515","0.376"
"1","mean","0u0m5os8","train","0.525","0.371"
"1","mean","0u0m5os8","train","0.535","0.367"
"1","mean","0u0m5os8","train","0.545","0.362"
"1","mean","0u0m5os8","train","0.556","0.357"
"1","mean","0u0m5os8","train","0.566","0.352"
"1","mean","0u0m5os8","train","0.576","0.347"
"1","mean","0u0m5os8","train","0.586","0.341"
"1","mean","0u0m5os8","train","0.596","0.336"
